,POA_CODE_2016,T_SOLSE_NWNAA_T,A15_24_SOLSE_NWNAA_T,A35_44_SOLSE_NWNAA_T,A65_74_SOLSE_NWNAA_T,Counted_home_Census_Night_Tot,P_SOL_SE_NW_NA_Total,suburbs
0,POA2000,3577,817,486,134,26121,2034,"Sydney, Dawes Point, The Rocks, Parliament House, Sydney South, Barangaroo, Millers Point, Haymarket"
1,POA2006,0,0,0,0,1194,9,The University Of Sydney
2,POA2007,954,321,73,56,8496,548,"Broadway, Ultimo"
3,POA2008,775,330,62,27,11244,203,"Darlington, Chippendale"
4,POA2009,770,95,88,72,12286,469,Pyrmont
5,POA2010,1045,134,119,91,26387,826,"Darlinghurst, Surry Hills"
6,POA2011,332,26,50,32,20088,287,"Kings Cross, Potts Point, Rushcutters Bay, Elizabeth Bay, Woolloomooloo"
7,POA2015,232,28,27,39,9476,209,"Eveleigh, Alexandria, Beaconsfield"
8,POA2016,700,36,36,139,12580,714,Redfern
9,POA2017,1896,578,84,212,23813,1004,"Waterloo, Zetland"
10,POA2018,1289,115,85,256,16562,1252,"Rosebery, Eastlakes"
11,POA2019,262,12,14,50,10501,238,"Botany, Banksmeadow"
12,POA2020,934,142,84,130,14282,602,"Sydney International Airport, Mascot, Sydney Domestic Airport"
13,POA2021,118,6,8,14,14533,108,"Paddington, Moore Park, Centennial Park"
14,POA2022,278,19,35,30,12008,264,"Queens Park, Bondi Junction"
15,POA2023,91,12,10,14,10231,72,Bellevue Hill
16,POA2024,129,15,4,13,10551,129,"Bronte, Waverley"
17,POA2025,63,3,3,18,6989,48,Woollahra
18,POA2026,389,32,32,52,31018,358,"Tamarama, Bondi Beach, Bondi, North Bondi, Ben Buckler"
19,POA2027,62,3,5,8,7809,45,"Darling Point, Hmas Rushcutters, Point Piper, Edgecliff"
20,POA2028,25,0,0,3,4384,26,Double Bay
21,POA2029,91,3,5,12,9563,79,Rose Bay
22,POA2030,167,3,20,28,13576,115,"Vaucluse, Dover Heights, Watsons Bay, Hmas Watson, Rose Bay North"
23,POA2031,614,98,40,89,33337,542,"Clovelly, Randwick, St Pauls, Clovelly West"
24,POA2032,1256,480,60,112,16141,858,"Kingsford, Daceyville"
25,POA2033,507,155,26,47,11133,475,Kensington
26,POA2034,279,8,10,60,19808,306,"South Coogee, Coogee"
27,POA2035,1610,152,76,251,33246,1460,"Maroubra, Pagewood, Maroubra South"
28,POA2036,1091,74,86,206,29452,972,"Phillip Bay, Hillsdale, Port Botany, Eastgardens, Little Bay, Malabar, Chifley, La Perouse, Matraville"
29,POA2037,509,81,39,83,15298,343,"Glebe, Forest Lodge"
30,POA2038,100,5,3,18,9028,111,Annandale
31,POA2039,81,3,7,11,8310,68,Rozelle
32,POA2040,489,15,16,83,21309,540,"Lilyfield, Leichhardt"
33,POA2041,127,6,7,18,14876,103,"Balmain, Balmain East, Birchgrove"
34,POA2042,426,32,34,56,18201,400,"Newtown, Enmore"
35,POA2043,112,13,4,13,7671,98,Erskineville
36,POA2044,450,11,35,101,7563,435,"St Peters, Sydenham, Tempe"
37,POA2045,326,3,8,55,6229,412,Haberfield
38,POA2046,1067,3,49,197,25850,1001,"Russell Lea, Wareemba, Five Dock, Chiswick, Abbotsford, Canada Bay, Rodd Point"
39,POA2047,277,8,17,44,11381,287,Drummoyne
40,POA2048,227,11,13,44,7627,243,"Westgate, Stanmore"
41,POA2049,349,7,13,93,10800,362,"Petersham North, Petersham, Lewisham"
42,POA2050,230,85,15,14,8566,98,"Missenden Road, Camperdown"
43,POA2052,109,85,0,0,3353,36,Unsw Sydney
44,POA2060,208,19,31,24,13261,166,"Hmas Waterhen, Waverton, Hmas Platypus, Mcmahons Point, North Sydney Shoppingworld, North Sydney, Lavender Bay"
45,POA2061,165,3,4,28,5665,156,"Milsons Point, Kirribilli"
46,POA2062,66,3,9,15,6685,84,Cammeray
47,POA2063,108,3,4,24,6092,81,Northbridge
48,POA2064,506,18,86,65,9198,425,Artarmon
49,POA2065,752,29,119,95,28811,583,"Greenwich, Crows Nest, Gore Hill, Wollstonecraft, St Leonards, Naremburn, Royal North Shore Hospital"
50,POA2066,774,32,90,95,30545,515,"Northwood, Riverview, Longueville, Lane Cove North, Linley Point, Lane Cove West, Lane Cove"
51,POA2067,3124,281,394,375,25664,2111,"Chatswood West, Chatswood"
52,POA2068,524,13,45,101,16166,444,"Willoughby East, Middle Cove, Willoughby North, Castlecrag, Willoughby, North Willoughby"
53,POA2069,471,25,44,86,13775,270,"Castle Cove, Roseville, Roseville Chase"
54,POA2070,531,21,60,102,13024,333,"East Lindfield, Lindfield West, Lindfield"
55,POA2071,734,30,85,116,13115,457,"Killara, East Killara"
56,POA2072,472,17,72,58,7424,294,Gordon
57,POA2073,450,11,36,81,15744,302,"West Pymble, Pymble"
58,POA2074,471,16,66,104,21383,327,"South Turramurra, Warrawee, North Turramurra, Turramurra"
59,POA2075,666,10,100,127,19821,260,"St Ives Chase, St Ives"
60,POA2076,583,14,64,98,23818,403,"Wahroonga, North Wahroonga, Normanhurst"
61,POA2077,2320,52,335,374,36670,1803,"Waitara, Hornsby, Asquith, Hornsby Heights"
62,POA2079,117,3,18,19,6859,66,Mount Colah
63,POA2080,26,0,3,6,1656,12,Mount Kuring-Gai
64,POA2081,34,0,7,3,5147,18,"Berowra, Cowan"
65,POA2082,27,0,3,5,5222,18,"Berowra Creek, Berowra Waters, Berowra Heights"
66,POA2083,3,0,0,0,1431,0,"Cogra Bay, Dangar Island, Cheero Point, Bar Point, Brooklyn, Milsons Passage, Mooney Mooney"
67,POA2084,24,0,0,0,3496,13,"Duffys Forest, Terrey Hills, Cottage Point"
68,POA2085,131,6,8,19,11260,99,"Belrose West, Belrose, Davidson"
69,POA2086,187,21,8,42,13003,128,"Frenchs Forest East, Frenchs Forest"
70,POA2087,256,17,20,46,12377,239,"Killarney Heights, Forestville"
71,POA2088,280,8,37,42,27076,195,"Mosman, Spit Junction"
72,POA2089,146,3,34,20,11299,141,"Kurraba Point, Neutral Bay Junction, Neutral Bay"
73,POA2090,198,10,34,30,13126,161,"Cremorne Junction, Cremorne Point, Cremorne"
74,POA2092,70,0,6,10,6857,54,Seaforth
75,POA2093,236,13,33,31,21992,222,"Balgowlah Heights, North Balgowlah, Balgowlah, Manly Vale, Clontarf"
76,POA2094,23,0,3,4,5569,27,Fairlight
77,POA2095,116,14,13,6,15101,118,"Manly, Manly East"
78,POA2096,73,3,5,10,13918,84,"Curl Curl, Harbord, Queenscliff, Freshwater"
79,POA2097,115,7,13,11,14918,89,"Collaroy Beach, Wheeler Heights, Collaroy, Collaroy Plateau"
80,POA2099,1135,47,175,145,38500,989,"Wingala, Narraweena, Cromer, Dee Why, North Curl Curl"
81,POA2100,417,19,49,45,20139,370,"Brookvale, Warringah Mall, Beacon Hill, Oxford Falls, Allambie, North Manly, Allambie Heights"
82,POA2101,96,3,8,13,18567,83,"Elanora Heights, Narrabeen, North Narrabeen, Ingleside"
83,POA2102,56,0,5,9,7136,42,"Warriewood, Warriewood Shopping Square"
84,POA2103,79,0,5,9,10204,100,Mona Vale
85,POA2104,16,0,0,0,3420,9,Bayview
86,POA2105,3,0,0,0,1723,6,"Church Point, Morning Bay, Elvina Bay, Lovett Bay, Scotland Island, Mccarrs Creek"
87,POA2106,39,0,3,4,8781,30,"Newport, Newport Beach"
88,POA2107,23,0,3,6,13851,23,"Clareville, Bilgola Beach, Whale Beach, Bilgola Plateau, Careel Bay, Avalon Beach, Bilgola"
89,POA2108,9,0,0,0,1444,3,"Great Mackerel Beach, Palm Beach, Currawong Beach, Coasters Retreat, The Basin"
90,POA2109,158,65,18,13,3018,56,Macquarie University
91,POA2110,208,5,12,21,9894,154,"Hunters Hill, Woolwich"
92,POA2111,507,19,32,90,13911,403,"Henley, Gladesville, Huntleys Point, Huntleys Cove, Tennyson Point, Monash Park, Boronia Park"
93,POA2112,1998,129,186,303,31848,1352,"Ryde, Putney, Denistone East"
94,POA2113,889,67,51,146,17810,695,"Macquarie Centre, East Ryde, Macquarie Park, North Ryde, Blenheim Road"
95,POA2114,1898,112,220,285,23319,1403,"Meadowbank, West Ryde, Denistone, Denistone West, Melrose Park"
96,POA2115,768,12,95,140,10328,507,Ermington
97,POA2116,562,11,70,83,6449,445,Rydalmere
98,POA2117,1845,44,236,235,20665,1241,"Dundas, Dundas Valley, Telopea, Oatlands"
99,POA2118,2446,61,321,403,23686,1640,"Carlingford, Carlingford Court, Carlingford North, Kingsdene"
100,POA2119,376,20,47,77,11273,222,"Beecroft, Cheltenham"
101,POA2120,639,16,44,116,19489,446,"Pennant Hills, Thornleigh, Westleigh"
102,POA2121,2400,183,308,298,27453,1507,"Epping, North Epping"
103,POA2122,3484,328,335,480,30290,2509,"Marsfield, Eastwood"
104,POA2123,0,0,0,0,0,0,Parramatta
105,POA2125,588,19,50,119,15918,407,West Pennant Hills
106,POA2126,703,10,69,136,18338,534,Cherrybrook
107,POA2127,1032,42,163,121,14092,491,"Sydney Olympic Park, Wentworth Point, Homebush Bay, Newington"
108,POA2128,255,11,58,26,4086,174,Silverwater
109,POA2129,0,0,0,0,0,0,Sydney Markets
110,POA2130,313,12,34,42,7084,271,Summer Hill
111,POA2131,2303,169,208,287,23097,2004,Ashfield
112,POA2132,927,32,65,160,10310,826,Croydon
